series_id,best_year,annual_value
PRS30006011,2022,20.5
PRS30006012,2022,17.1
PRS30006013,1998,705.895
PRS30006021,2010,17.7
PRS30006022,2010,12.4
PRS30006023,2014,503.216
PRS30006031,2022,20.5
PRS30006032,2021,17.1
PRS30006033,1998,702.672
PRS30006061,2022,37.0
PRS30006062,2021,31.6
PRS30006063,2024,646.748
PRS30006081,2021,24.4
PRS30006082,2021,24.4
PRS30006083,2021,110.742
PRS30006091,2002,43.3
PRS30006092,2002,44.4
PRS30006093,2013,514.156
PRS30006101,2020,33.5
PRS30006102,2020,36.2
PRS30006103,2024,644.924
PRS30006111,2020,34.2
PRS30006112,2008,42.7
PRS30006113,2024,654.2090000000001
PRS30006131,2021,18.5
PRS30006132,2021,18.5
PRS30006133,2021,114.159
PRS30006151,2020,26.5
PRS30006152,2020,31.099999999999998
PRS30006153,2020,529.709
PRS30006161,2010,50.6
PRS30006162,2002,48.1
PRS30006163,2014,515.921
PRS30006171,2015,11.1
PRS30006172,2015,11.1
PRS30006173,2001,123.107
PRS30006211,2010,35.0
PRS30006212,1997,38.8
PRS30006213,2007,523.825
PRS30006221,2021,13.1
PRS30006222,2021,13.1
PRS30006223,2021,114.48
PRS30006231,2021,18.7
PRS30006232,2021,18.7
PRS30006233,2021,111.054
PRS31006011,2022,20.2
PRS31006012,2022,20.0
PRS31006013,1998,707.846
PRS31006021,2010,19.4
PRS31006022,2010,14.299999999999999
PRS31006023,1997,503.924
PRS31006031,2022,23.7
PRS31006032,2011,21.900000000000002
PRS31006033,1998,705.6859999999999
PRS31006061,2022,35.5
PRS31006062,2021,32.6
PRS31006063,2024,649.173
PRS31006081,2021,17.1
PRS31006082,2021,17.1
PRS31006083,2018,105.435
PRS31006091,2010,42.8
PRS31006092,2002,49.8
PRS31006093,2014,507.252
PRS31006101,2000,34.6
PRS31006102,2020,40.900000000000006
PRS31006103,2024,649.394
PRS31006111,2009,37.5
PRS31006112,2008,58.3
PRS31006113,2024,673.999
PRS31006131,2021,12.7
PRS31006132,2021,12.7
PRS31006133,2021,112.014
PRS31006151,2020,27.6
PRS31006152,2020,35.9
PRS31006153,2020,529.531
PRS31006161,2010,64.1
PRS31006162,2002,54.7
PRS31006163,2014,510.858
PRS31006171,2009,8.9
PRS31006172,2009,8.9
PRS31006173,2001,112.143
PRS31006211,1997,47.6
PRS31006212,1997,55.5
PRS31006213,2007,523.364
PRS31006221,2021,9.0
PRS31006222,2021,9.0
PRS31006223,2021,114.177
PRS31006231,2021,13.2
PRS31006232,2021,13.2
PRS31006233,2021,107.341
PRS32006011,2022,21.1
PRS32006012,2021,14.100000000000001
PRS32006013,1995,726.1410000000001
PRS32006021,2010,14.5
PRS32006022,2010,9.2
PRS32006023,2012,503.276
PRS32006031,2021,18.2
PRS32006032,2021,17.6
PRS32006033,1995,710.851
PRS32006061,2022,40.599999999999994
PRS32006062,2021,30.9
PRS32006063,2024,642.048
PRS32006081,2021,26.8
PRS32006082,2021,26.8
PRS32006083,2013,114.922
PRS32006091,2002,35.0
PRS32006092,2004,31.7
PRS32006093,2014,513.797
PRS32006101,2020,34.1
PRS32006102,2003,34.6
PRS32006103,2024,636.773
PRS32006111,2020,35.4
PRS32006112,2008,34.9
PRS32006113,2024,639.057
PRS32006131,2021,21.3
PRS32006132,2021,21.3
PRS32006133,2012,117.295
PRS32006151,2020,27.0
PRS32006152,2020,26.1
PRS32006153,2020,531.48
PRS32006161,2002,36.0
PRS32006162,2002,31.6
PRS32006163,2013,516.748
PRS32006171,2015,15.5
PRS32006172,2015,15.5
PRS32006173,1998,137.187
PRS32006211,2021,22.9
PRS32006212,2021,23.799999999999997
PRS32006213,2007,517.015
PRS32006221,2021,17.3
PRS32006222,2021,17.3
PRS32006223,2021,114.673
PRS32006231,2021,22.6
PRS32006232,2021,22.6
PRS32006233,2021,114.102
PRS84006011,2022,22.8
PRS84006012,2021,25.4
PRS84006013,2024,537.879
PRS84006021,2010,6.0
PRS84006022,2010,7.0
PRS84006023,1997,518.506
PRS84006031,2021,27.5
PRS84006032,2021,27.6
PRS84006033,2024,526.094
